Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
C1,0.1uF,C_0201_0603Metric,75.414872,-88.994,-30.0,top
C2,0.1uF,C_0201_0603Metric,107.024,-79.172,-90.0,top
C3,0.1uF,C_0201_0603Metric,134.321221,-99.06,30.0,top
C4,0.1uF,C_0201_0603Metric,130.556,-135.382,-30.0,top
C5,0.1uF,C_0201_0603Metric,94.996,-149.032,-90.0,top
C6,0.1uF,C_0201_0603Metric,69.640779,-129.3675,30.0,top
D1,WS2812B,LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm,72.39,-94.488,60.0,top
D2,WS2812B,LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm,101.944,-79.172,0.0,top
D3,WS2812B,LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm,131.501359,-95.452238,-60.0,top
D4,WS2812B,LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm,133.025359,-130.861762,60.0,top
D5,WS2812B,LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm,101.6,-149.53,0.0,top
D6,WS2812B,LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm,72.644,-135.128,120.0,top
J1,Conn_01x04_Male,PinHeader_1x04_P2.54mm_Vertical,81.28,-110.744,0.0,top
J2,Conn_01x03_Male,PinHeader_1x03_P2.54mm_Vertical,118.11,-110.49,0.0,top
J3,Conn_01x03_Male,PinHeader_1x03_P2.54mm_Vertical,99.06,-123.19,90.0,top
